        Time,    Channel 1,    Channel 2,    Channel 3,    Channel 4
0.00000e+000,  0.0000e+000,  0.0000e+000,  0.0000e+000,  0.0000e+000
2.00000e-006,  0.0000e+000,  0.0000e+000,  0.0000e+000,  0.0000e+000
4.00000e-006,  0.0000e+000,  0.0000e+000,  0.0000e+000,  0.0000e+000
6.00000e-006,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
8.00000e-006,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.00000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.20000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.40000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.80000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.00000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.20000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.40000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.80000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.00000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.20000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.40000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
3.80000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.00000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.20000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.40000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
4.80000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.00000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.20000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.40000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
5.80000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.00000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.20000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.40000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
6.80000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
7.00000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
7.20000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
7.40000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
7.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
7.80000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
8.00000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
8.20000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
8.40000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
8.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
8.80000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
9.00000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
9.20000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
9.40000e-005,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
9.60000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
9.80000e-005,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.00000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.02000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.04000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.06000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.08000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.10000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.12000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.14000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.16000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.18000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
1.20000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
1.22000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
1.24000e-004,  0.0000e+000,  1.2000e+000,  0.0000e+000,  5.9260e-001
1.26000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.28000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.30000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.32000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.34000e-004,  1.2000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
1.36000e-004,  0.0000e+000,  0.0000e+000,  1.4815e-002,  5.7779e-001
1.38000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.40000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.42000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.44000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.46000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.48000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.50000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.52000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.54000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.56000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.58000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.60000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.62000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.64000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.66000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.68000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.70000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.72000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.74000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.76000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.78000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.80000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.82000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.84000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.86000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.88000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.90000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.92000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.94000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.96000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
1.98000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.00000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.02000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.04000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.06000e-004,  0.0000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
2.08000e-004,  1.2000e+000,  0.0000e+000,  0.0000e+000,  5.9260e-001
